"title","date","content","url"
"2016 – 新潟漫遊之旅 -","2017-01-23","九月初到了越後湯沢和新潟等地，遊記也寫得七七八八，所以在這裡分享。可能有些文章是關於東京的，好像不該貼在這裡。但考慮到時序，我想我還是原原本本的在這兒分享吧。

2016 – 新潟漫遊之旅 (APA HOTEL 上野駅前)
第一天太晚到東京了，所以入住了現在火紅的APA酒店。

2016 – 新潟漫遊之旅 (住宿和行程)
當然除了APA 之外，我整個行程有入住其他的酒店了。

2016 – 新潟漫遊之旅 (上野公園)
2016 – 新潟漫遊之旅 (上野公園 – 東照宮、五條天神社、花園稻荷神社、清水觀音堂)
一連兩篇的上野公園介紹，沒興趣的可略過。

2016 – 新潟漫遊之旅 (軽井沢ホテル ロンギングハウス)
2016 – 新潟漫遊之旅 (LONGING HOUSE)
2016 – 新潟漫遊之旅 (丸山咖啡本店)
2016 – 新潟漫遊之旅 (歴史民俗資料館、PRINCE SHOPPING MALL)
以上是有關輕井沢的。","http://www.backpackers.com.tw/forum/showthread.php?t=1879580"
"飄湖觀賞天鵝 -","2017-01-22","卻因新潟縣內爆發禽流感疫情而被禁止接近天鵝","http://www.backpackers.com.tw/forum/showthread.php?t=1879294"
"【日本中部】合掌村不是只有白川鄉荻町，相倉和菅沼也是登錄為世界文化遺產的合掌村 -","2017-01-09","2015/11/21(六)  相倉(あいくら)&菅沼(すがぬま)
天氣晴

世界文化遺產合掌村，相信許多人都耳熟能詳
彷彿童話小屋般的一棟棟屋子，每年吸引了許多來自世界各地的觀光客

1995年底登錄為世界文化遺產的白川郷•五箇山の合掌造り集落
不僅只有岐阜県大野郡白川村荻町集落
還有相隔不遠的富山県東砺波郡平村相倉集落及上平村菅沼集落

白川郷・荻町集落
乃是三個集落中擁有合掌建築 152戶為最大集落，也最廣為人知
大家習慣以合掌村來稱呼它

五箇山・相倉集落擁有 20戶合掌建築，菅沼集落規模最小，只有 8戶

合掌建築的由來乃是因為此種建築結構可抵擋低溫、強風及厚雪
因此中部一些在冬日會面臨到強風厚雪的地區
在遙遠的年代都是合掌建築

合掌建築（合掌造り）的構造
乃是以茅草覆蓋的屋頂，呈人字型的屋頂如同雙手合十
於是被稱為「合掌」
屋頂十分陡峭，能讓過高積雪自然崩落不至於堆積太厚

合掌建築得靠好的木材、茅草和專業的技師
隨著時代的變遷，這些都已經愈來愈少
因此保留下來的更加彌足珍貴

今兒個就來去另兩個合掌村走走看看吧～
首先來到相倉集落
第一眼就覺得這位於五箇山谷中的村落真的好可愛唷～
  
今天是日本三連休假期，卻也沒什麼觀光客
真是個非常幽靜的村落
  

由於這些房子都是用茅草和木材建成的，特別怕火
因此都有固定的消防演習，全部水柱一起噴出，看起壯觀又美麗
無緣親眼目睹，只能看圖片。哈～
 

原本打算在相倉用過午餐再走
左看右看，沒有吸引我的店
於是加快腳步追上即將進站的巴士
下車來到菅沼就忙著找餐廳

範圍並不大的集落，餐廳又都集中在入口不遠處
也沒有太多選擇，稍微繞一下，就能做出決定

可愛的建築，賣土產也賣輕食，輕食店裡外都坐滿了人
不管老的小的都是日本人，想來應該是好吃？！
還好南西只有一人，併個桌就能入座
 原文載於: 背包客棧自助旅行論壇 http://www.backpackers.com.tw/forum/showthread.php?t=1871479
可愛菜單，每樣都想點來吃
可惜胃只有一個，點了山菜湯麵和飛驒牛可樂餅。好吃！
 
元氣滿滿，上路！

這兒的幽靜程度和相倉比起來，有過之而無不及
還有濃濃的秋意
 
 
屋簷的特寫不能少
 

走一段路可以慢慢走到至高點 
 
觀光客實在太少，常常前看後看都沒人
走著走著會懷疑前面真的還有路嗎？
還好真的有，還能眺望這迷你村莊呢！
 

如果你還沒去過白川鄉的合掌村
不想人擠人，建議你來相倉和菅沼

如果你跟我一樣去過白川鄉的合掌村
喜歡幽靜，更不能錯過相倉和菅沼

合掌街道
http://www.gassho-kaido.jp/index.html
五箇山(菅沼/相倉)
http://www.gokayama-info.jp/
相倉合掌集落
http://www.g-ainokura.com/
加越能世界遺産バス
http://www.kaetsunou.co.jp/company/sekaiisan/

交通手段：
09:21～09:29富山とやま－新高岡しんたかおか(ＪＲ新幹線つるぎ711号・金沢行)
09:45～10:48新高岡しんたかおか－相倉あいくら (加越能巴士)
12:18～12:33相倉あいくら－菅沼すがぬま(加越能巴士)
14:21～15:45菅沼すがぬま－新高岡しんたかおか(加越能巴士)
16:23～16:31新高岡しんたかおか－富山とやま(ＪＲ新幹線はくたか570号・東京行)
本日行程車費 5120 円，使用 JR高山北陸 PASS連加越能巴士都免費

文章出處
http://nancycheng1023.pixnet.net/blog/post/221459521","http://www.backpackers.com.tw/forum/showthread.php?t=1871479"
"2016年黃金週北陸之五箇山 -","2017-01-07","2016年日本黃金週期間，筆者首度帶著朋友團遊歷北陸，其中一天居住金澤的友人開車前往著名的五箇山合掌造村落，如夢境般的美麗風景讓人實在不想離開","http://www.backpackers.com.tw/forum/showthread.php?t=1870516"
"【海鮮控必看！ 日本海最大的魚街購物市集 】 -","2017-01-03","日本有著豐富的海鮮資產，有不少前來日本遊玩的旅客都是衝著海鮮而來。
雖然在東京的築地市場非常有名，但其實還有另外一個場所也聚集了許多海產呢！
那就是福井縣的敦賀。敦賀面對著日本海，所以每天在這裡都會聚集許多新鮮的海產。
今天要向大家介紹能夠看到新鮮的魚也能夠購買及享受美食的場所。

「日本海魚街」是位於日本海旁規模最大的海鮮市集。
能夠直接購買到新鮮的魚之外還能夠請店家幫忙烹調後，能夠邊走邊享受美食呢！
當然這個市集裡還有餐廳能夠滿足想盡情享用美食的饕客！

特別是這裡海鮮丼很有名，每天一到了午間時刻就會開始大排長龍

即將迎來的是螃蟹以及黑鮪魚的季節，要不要來享受當季的新鮮海鮮呢？
每個禮拜六都會舉行黑鮪魚秀！

地址：福井県敦賀市若葉町１-1531
URL：http://www.sakanamachi.info/","http://www.backpackers.com.tw/forum/showthread.php?t=1868160"
"室堂的午餐 -","2017-01-03","6/22要去室堂登雄山，室堂的餐館有幾家呢？聽朋友說室堂的餐館，只重視團客不太想招待自由行散客，真的會是這樣嗎？如果在車站先買便當的話，那個車站有在賣呢？第一次去立山所以都不清楚狀況，另外要去合掌村沒有預約車位，六月會有很多遊客嗎？如果人多上不了車，那真的只能再等下班的非預約車次嗎？","http://www.backpackers.com.tw/forum/showthread.php?t=1867944"
"2016北陸、東海雪景分享(金沢富山新穗高平湯白川鄉) -","2016-12-24","我們台灣地處亞熱帶, 所以很多人對下雪都有莫名的期待與興奮。我個人年輕時曾在美東求學，曾經有開車要很小心的經驗，也聽過很多開車打滑發生事故的故事，而且下雪過後，沒有車輛經過以前都很美，可是一但鏟雪車出動，車輛開過滿地泥濘，那時可能就沒那麼美了。所幸我們今天是談風景區的雪景，那又另當別論了。
大家都知道，下雪有二個要件，一個是溫度，一個是溼度。能不能看到雪景則要看溫度。１２月份北陸、東海地方開始下雪，不過依據氣象資料來看，１２月份並不是全年溫度最低的時候，所以前二天下了雪，如果溫度回昇，雪可能就融掉了。我們在出發前２週我就開始觀察各景點的Web Cam及氣象APP，尤其是白川鄉，大老遠的跑去，而且這麼冷，看不到雪不是嘔死了。不過當然下雪的事可遇不可求，如果非在白川鄉看到雪, 建議還是等1,2月最冷的時候去比較保險。

金沢
我們的運氣還不錯，我們12月15日到金沢，金沢近海，一般而言，海邊的都市相對於山區雪量較小。由於我們12月16日一早要趕06:13的新幹線,所以很早就起來, 我由旅館窗戶看出去，外面已是一片銀色世界, 車子,馬路上,房子…所有的東西都覆蓋上一層白雪。不過因為我們要趕車, 所以由旅館快速走到車站就上車了。我們12月19日再回到金沢時，由於溫度已提升到7~12度，所以到我們12月20日離開時，在金沢都沒有再看到雪了。

富山
富山只是我們的一個轉車站，我們由金沢坐新幹線到富山，由於當時已經天亮而且我們在富山站大概停留了半個小時，後來可能是上班時間且下雪天, 所以在富山市小小塞車了一下。


富山往新穗高途中
所富山搭BUS到新穗高預定要要2個半小左右，新穗高在山區，所以平地都下雪了，山區的雪當然更大。意外的是在到新穗高的路上已經可以看到讓我們十分驚艷的雪景。我的口笨文筆拙劣，讓大家看照片就知道我講的美了。不過因為這些照片都在BUS行進間所照，所以可能並不是那麼理想。原文載於: 背包客棧自助旅行論壇 http://www.backpackers.com.tw/forum/showthread.php?t=1863371

新穗高
新穗高是我們此行中雪下最大的地方，這裏有2段纜車，其實一路上就已經是一片白茫茫了，而且有的地方積雪已經有10幾公分以上了。由於纜車最高會到2100公尺的觀景台，觀景台的天氣真的要碰運氣，我們上去的時候只有零下9度，又是風又是雪，而且四周什麼都看不到，所以照了像我們就趕快到室內喝咖啡了。這個ＵＲＬ是山頂的ＷebCam,不過到了這也沒得挑了，除非您在這待很多天。http://shinhotaka-ropeway.jp.t.uk.hp.transer.com/livecamera/

平湯
我們第二天住在平湯，平湯是個溫泉鄉，所以幾乎到處都是溫泉旅館，我們下午2點多到的時候天色尚好，Check-In後我們就決定出去逛逛，可能是太冷了(應該在零度以下)，雖然雪已經停了，可是路上幾乎完全沒有人，只有我們二個人在路上走，一邊走一邊照相，而且好笑的是我的iPhone 6+一直當機告訴我完全沒電了。所以平湯路上的照片大多是老婆的Canon類單照的。
我們第二天早上醒來又開始下雪了，拖著行李走到車站約10分鐘。

高山
高山是我們第3天的行程，雖然依舊冷，但是看到的殘雪就不多了。

白川鄉
白川鄉是我們此行的重點之一，看氣象APP前二天都有下雪，我們到的當天約10點鐘會出太陽，所以我們約9點到時，依舊是很棒的雪景，屋頂上、田地裏自天守閣瞭望台看下去，到處都是雪。不過到我們下午3,4點準備 CheckIn旅館時，很多屋上的雪就延著屋邊流下雪水來。

今天是耶誕節前夕平安夜, 祝福大家闔家聖誕快樂, 平安如意!

==================================================
我的相關文章
【行程】 [實戰檢驗過之行程]小松金沢富山新穗高平湯高山白川鄉金沢小松 
http://www.backpackers.com.tw/forum/showthread.php?t=1862116
【交通】 「實況」金沢-》富山-》新穗高 
http://www.backpackers.com.tw/forum/showthread.php?t=1861462
【住宿】 六天行程中溫泉旅館之比較-平湯[穗高莊山河之湯]VS高山[超級高山]VS白川鄉[白川鄉之湯]
http://www.backpackers.com.tw/forum/showthread.php?t=1862261
【遊記】 2016北陸、東海雪景分享(金沢富山新穗高平湯白川鄉) 
http://www.backpackers.com.tw/forum/showthread.php?t=1863371","http://www.backpackers.com.tw/forum/showthread.php?t=1863371"
"2016/10/13-2016/10/18 日本中部遊的注意事項(文長慎入) -","2016-12-21","不僅文長還沒圖片，願意耐心看完的人感謝　哈哈

剛回來，分享一下

1.高原SA可以停一下真的很漂亮,這邊賣的霜淇淋相當好吃

2.平湯溫泉愛宝館離巴士中心很近,一分鐘路程,斜對面有土產店,住客隔天自駕要去上高地的可在飯店暫停車,房間很大,但有點舊,10疊房有附廁所沒衛浴,溫泉小小的可是很舒服,重點是服務人員的服務超好的!!!超級好~但因為是小家庭經營的,語文能力沒有那麼ok.不會講日文的要稍稍注意一下,4人房不含餐一晚22200日幣(含泡湯稅每人150日幣)

3.平湯溫泉往上高地的計程車費用,官網費用以外要另加1540日幣的過路費

4.新穗高纜車可利用昇龍道APP一人折價300日幣,真的要去看看,超美,去之前可利用官方網頁確認天氣狀況,第二段纜車的鍋平高原的栗子超好吃!推薦必買,一人份130g,忘記多少,我們兩人份是買1100日幣

5.高山Frespo超好逛,有鞋店,uniqlo,藥妝,超市等,重點是大間,超好買,自己記得帶購物袋,這邊有銀座章魚燒,日本知名連鎖章魚燒店,可試試

6.中部食物真的偏鹹,尤其是拉麵,點的時候要想一下下

7.金澤就算是香林坊號稱最熱鬧的地方,也八點就關得差不多,東橫inn香林坊特別推薦,床大房間大廁所大,下午4點後停車到隔天早上10點是500円,10點後繼續停是一小時一百日圓(中間不可駛離),波蘿麵包晚上去買不用排隊(約七點左右),這邊的大國藥妝價格算還可以,但總體而言金澤對我們來說有點無聊.不算特別都市,也不算舒服的鄉下,推薦近江町市場morimori迴轉壽司,新鮮便宜

8.高山spa alpina去的時候滿館,都是法國團客,所以很擠,女生露天溫泉不像官網上可看景,一半的落地窗打了霧面(聽說男生那邊還是透明的).聽男生說泡湯早上比晚上風景漂亮,房間非常乾淨,但偏小間

9.名古屋hotel silk tree,雖然便宜(15平方米雙人房一晚一人2600日幣),也有送免費早餐,離鬧區也近,下面還有ok,但我本人應該不會再住,房間有股味道,真的不喜歡,可是CP值算高,地點跟房價來看的話

10.蓬萊軒鰻魚飯這次平日11點去排,第一批就進去吃了,鳥開總本家的親子棟超好吃!!世界雞翅香,但有點乾,HARBS覺得就水果千層好吃,另外買了巧克力跟起司都還好,CP值算低,矢場豬排沒有想像的鹹~好好吃!

11.因為是平日要用到地鐵巴士一日券,在機場名鐵旅遊中心先買好昇龍道一日券一張600日幣(平日原價830日幣)

12.長島outlet的停車費1000円,雖然官網上寫單筆日幣3000外要加三井聯名卡才可以退回,但實際上單筆消費滿3000就可以退回了,停車時先付款,在店家消費買三千結帳時出示停車卡,消磁後拿去退費機器插卡即可原文載於: 背包客棧自助旅行論壇 http://www.backpackers.com.tw/forum/showthread.php?t=1861979

13.溫差超大,上高地那天還到兩度,名古屋卻到了30度,去高山上高地平湯白川的,要當冬天穿衣服,下山後請照夏天或初秋穿

14.此次分段租兩次車,一次跟times租premacy.一次跟日產租 nissan wingraod,兩台後行李箱放了2個29一個28就滿了.一個24都是放在後座,premacy比較大,放了腳還有空間放,wingroad不行,總共兩男兩女都大人~

15.捷星絕對比虎航好坐(深刻感受)

16.此次比價大須商店街的大國藥妝(靠上前津站的)價格最漂亮

17.市區很容易塞車，時間掌控上要特別注意，開車時間別抓太緊，我們預留的一小時每次幾乎都被塞掉

18.此次共開778公里，油錢約9000日幣多，過路費有用pass，加上一些自費的約10000日幣上下，租車四天四夜共50000上下含保險","http://www.backpackers.com.tw/forum/showthread.php?t=1861979"
"日劇<月薪嬌妻>  新婚之旅拍攝地 修善寺溫泉小町 -","2016-12-19","圖文網誌版：http://lee830626.pixnet.net/blog/post/281653237

在一看到修善寺三個大字時，(在公路上有一個草地上，修剪過的樹葉，凸出了「修善寺」三個大字，但沒拍到照，網路上也沒找到，可能有點難懂，抱歉)

媽媽就說他還記得我阿公三十年前就來過修善寺，送了他一個精緻的裝飾品，
沒想到在三十年後的今天，也來到了這裡。


沒做功課的我，本來以為他是一間寺廟咧 哈哈
而下筆寫這篇是因為最近看月薪嬌妻，
第六集的新婚之旅的場景就是在修善寺拍的！！



先來張片中的場景，

☉劇照一
http://imgur.com/a/Wrf3B

我好喜歡日本木材上漆的這紅色，

神隱少女中的橋的圍欄也是這種樣子，

我自己覺得很有古色古香的感覺~

修善寺可以說是在伊豆半島最詩情畫意的地方，是個擁有古老歷史的山中溫泉小町，放眼望去盡是日式的平房建築，而在修善寺的遊客密度不會太高，可以輕鬆地漫步在街上。

文學家 夏目漱石 也很愛來修善寺，沿路還有些對夏目漱石的介紹看板。

☉劇照二

http://imgur.com/toPXaMq

上圖是竹林小徑，

我個人喜歡這裡的竹林小徑甚過嵐山的竹林之道，也可能是因為我去嵐山的時間太晚，快天黑了，當時走進去覺得蠻暗的，有點可怕，不會想待太久。(像是會有天狗跑出來的場景...)

而修善寺的竹林小徑的竹子沒那麼密集，還可以看到旁邊的民宅或商店，比較不會有太深山會有恐怖事情發生的感覺( <-- 推理小說看太多…)

石板路也和竹林、木造建築很融洽合在一起。

竹林中還有個半徑很大的圓形竹椅，可以容納十幾個人的大小，

可以坐著休息、在竹林中的竹椅上放空。

☉劇照三
http://imgur.com/9NZ49s2

我們走到的是楓橋，
但上網查發現還有個桂橋，也蠻像的，
沒有百分之百確定電視的場景是楓橋，
接著結衣就近去溫泉旅館了~

但其實修善寺還有些地方可以走走，
沿著石板路走還會看到這被植物包覆的圍牆，
像是我媽媽就覺得這邊超美，很適合拍照。原文載於: 背包客棧自助旅行論壇 http://www.backpackers.com.tw/forum/showthread.php?t=1860824
橋上也是大家拍照的熱門景點，
還經過這開放式的畫廊，
也可以直接走進去感受一下，
也是非常的古色古香。

題外話：
在更外面一點的地方，
http://imgur.com/1UGco3w
看到了這個招牌，
我當時看到超興奮的，因為當時看了本關於「能面」的漫畫 ，
超好笑的!! (但好久沒更新了…)

最後附上週邊的地圖：
http://imgur.com/mFxJKY9","http://www.backpackers.com.tw/forum/showthread.php?t=1860824"
"在天守閣瞭望台如果有這個會有差.... -","2016-12-19","我們在出發前就買了雪鞋，另外還加了一樣東西
這個小東西在昨天上天守閣瞭望台發揮了作用
因為前二天下過雪，而且瞭望台上有石階梯，所以其實非常滑
昨天(12/18)我們穿上這個東西，走起來就很穩
您可以不用雪鞋，帶不透水的鞋子再加「防滑釘」就可以了
不過這個釘子在走平地時會有點卡卡的，您看到的照片是已經釘子已經脫落了一顆,台幣200塊。
如果沒這東西，小心走路囉！","http://www.backpackers.com.tw/forum/showthread.php?t=1860422"
